fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,02,ANDHRA PRADESH,0209,NELLORE,5135978,260.355750760033,28,1625,3659.794308758,4333,5,47714,4862286,1358606,135577,236827,28195,829.38264,17148.418168158,168867,240861,267210,462911,469,348471,585165,52047,12659.2412194,3076280,39,37.8,52.48,99.93,NA
2024-2025,Sep,02,ANDHRA PRADESH,0211,Y.S.R,6339368,259.485308432283,44,2141,5276.074213704,3314,4,39180,6103009,1273297,79220,86014,5386,980.28059,22092.766531004,138429,218291,190260,353412,2603,239704,439377,42494,15836.4117273,3901183,43,33.27,63.53,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0218,NTR,6232296,256.984292774502,44,2309,1618.286202165,9813,2,20606,6256706,2407992,121924,502059,23212,241.66288,17938.7007472448,141630,235277,173516,317907,4885,207393,371528,30419,16078.7516650798,3664962,36,67.91,20.53,99.94,NA
2024-2025,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,10053336,249.765997217521,58,3943,5704.248550215,5666,1,38515,10048515,1181998,45774,3948668,135840,461.78436,31263.8066055172,171443,290130,192655,373409,12822,210841,399419,44181,25097.7736953022,5866031,73,37.38,53.36,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,15686755,253.626674130325,48,6472,4566.760462748,11807,2,36422,15702744,1408195,61036,1073294,39912,1430.06671,45823.1745271472,322386,464506,382005,672293,8311,435062,742650,48229,39826.3473543992,11040078,45,16.57,78.63,99.99,NA
2024-2025,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,3313838,251.86262901217,37,1769,2549.331441305,6246,0,17962,3264789,1248344,70476,70245,3141,406.07845,11178.1932984051,86008,112091,120415,192538,871,162537,250281,24208,8222.78340710013,1824732,53,46.49,39.57,99.99,NA
2024-2025,Sep,02,ANDHRA PRADESH,0206,KRISHNA,6034511,260.971655326646,42,2135,2559.748552848,12788,0,36826,6011599,2273837,119856,103536,5569,723.02983,18971.3478047481,140469,240395,175270,322385,6553,214227,378064,49614,15688.5694219001,3246589,30,83.63,6.85,99.98,NA
2024-2025,Sep,02,ANDHRA PRADESH,0209,NELLORE,5135978,258.78191468837,30,1756,4243.934284462,4687,4,48793,5535611,1551176,136475,266436,28445,958.80487,19527.899289962,180245,259931,269144,466590,727,349875,588141,53480,14325.1601355,3499769,39,38.78,51.59,99.94,NA
2024-2025,Sep,02,ANDHRA PRADESH,0211,Y.S.R,6339368,259.703024106606,44,2149,5764.963806655,3510,4,39428,6168807,1286296,79255,87404,5390,1136.58681,22922.128946955,139342,219832,190406,353649,3633,239999,439829,42938,16020.5783303,3942670,43,33.49,62.87,99.99,NA
2024-2025,Sep,02,ANDHRA PRADESH,0217,ELURU,9630380,250.328439411,39,3211,3277.458480806,6330,3,35932,9396920,3201259,205451,1005738,53249,561.64684,27362.2685095062,236691,380975,317167,587209,3268,372346,669953,42262,23523.1631887002,5494416,49,41.39,51.51,99.89,NA
2024-2025,Sep,02,ANDHRA PRADESH,0218,NTR,6232296,258.080374522554,44,2318,1796.576221507,9959,2,20624,6332190,2437739,121958,507467,23246,328.31286,18467.0287489867,141892,235881,173520,318019,5344,207819,372294,30583,16342.1396674797,3708098,36,67.89,20.38,99.97,NA
2024-2025,Sep,02,ANDHRA PRADESH,0220,PALNADU,5754630,249.561024127726,31,2089,2490.378968564,2486,4,32184,5660997,1471212,120808,506569,40961,461.08439,17079.1054476038,179278,300853,256947,460919,1282,326696,561708,34670,14127.6420890398,3036244,25,75.3,20.81,99.92,NA
2024-2025,Sep,02,ANDHRA PRADESH,0221,NANDYAL,4797017,241.52242397374,32,1776,3510.83787738,5921,2,35244,4825997,1393892,110865,216938,13195,635.41873,15802.1215426799,147340,246242,206581,396070,1071,260372,484843,41165,11655.8649352999,2870531,44,62.53,28.68,99.94,NA
2024-2025,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,6099471,266.484864826032,41,2172,2610.742263724,9001,5,28256,6256493,2505150,152571,495938,32233,664.72554,19948.0747176242,149778,219436,221314,393802,7886,271382,468492,37257,16672.6069139002,4083596,40,24.55,71.12,99.98,NA
2024-2025,Aug,02,ANDHRA PRADESH,0201,SRIKAKULAM,15645966,253.590760771035,48,6463,3959.380475773,10908,1,36518,15642985,1403883,61043,1063026,39922,1165.94222,44794.4873645719,322024,463726,381959,672264,7566,434560,741882,47426,39669.1646687989,11000650,44,16.4,78.96,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0202,VIZIANAGARAM,13656324,230.438017237739,45,7234,3417.384201929,4560,2,37365,13577422,1500203,74720,370382,18089,921.89565,35626.8219007295,300807,447349,350887,642454,2792,386407,691904,41925,31287.5420488005,9276805,47,4.37,92.06,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1133698,291.758298255023,44,211,315.14175448,981,0,5087,1135223,86787,4336,10939,495,184.83628,3812.08534067962,25703,35321,31331,49652,472,35776,54980,6068,3312.10730619962,826681,60,3.33,94.57,100,NA
2024-2025,Aug,02,ANDHRA PRADESH,0204,EAST GODAVARI,3156339,250.51440764012,37,1736,2066.570183605,5764,0,17369,3097492,1191291,70390,67913,3130,349.21807,10175.4519891051,83638,108878,119710,191597,596,160881,248367,23133,7759.66373550012,1742441,52,46.61,41.18,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0208,PRAKASAM,10885709,208.172921683822,39,3933,4361.413162534,3348,4,40678,10722625,2536833,200495,333770,21788,1113.51626,27796.5311662339,272154,462191,380661,723719,2442,444507,817516,44026,22321.6017436999,6094905,32,9.64,87.14,99.97,NA
